activity_ts,crm_id,owner_included,duration_in,duration_out,n_recipients,n_to
2021-02-20 23:30:24,0064v00001fhPtxAAE,0,9,53,2,1
2021-02-20 23:30:24,0064v00001q4RGdAAM,0,9,53,2,1
2021-02-20 23:30:24,0064v00001q5BfuAAE,0,9,53,2,1
2021-02-22 00:59:02,0064v00001q6cFtAAI,0,333,2081,1,1
2021-02-22 02:27:38,0064v00001q4ROXAA2,1,70,434,1,0
2021-02-22 02:27:38,0064v00001q6YAXAA2,1,70,434,1,0
2021-02-22 02:27:38,0064v00001q6YAwAAM,1,70,434,1,0
2021-02-22 03:51:27,0064v00001q42xFAAQ,0,20,125,2,1
2021-02-22 05:19:30,0064v00001fhGMNAA2,0,242,1513,1,1
2021-02-22 05:19:30,0064v00001fhGMSAA2,0,242,1513,1,1
2021-02-22 05:19:30,0064v00001fhGMXAA2,0,242,1513,1,1
2021-02-22 05:19:30,0064v00001fhGMcAAM,0,242,1513,1,1
2021-02-22 11:12:17,0064v00001q53G1AAI,0,485,3031,2,1
2021-02-22 12:23:08,0061B00000zTVRmQAO,0,20,124,2,2
2021-02-22 12:23:08,0061B00001n79caQAA,0,20,124,2,2
2021-02-22 12:32:57,0064v00001fhOraAAE,1,377,2355,1,1
2021-02-22 12:32:57,0064v00001q4RJmAAM,1,377,2355,1,1
2021-02-22 13:10:23,0064v00001fhEnIAAU,0,259,1616,1,1
2021-02-22 13:10:23,0064v00001fhEnNAAU,0,259,1616,1,1
2021-02-22 13:10:23,0064v00001fhEnSAAU,0,259,1616,1,1
2021-02-22 13:10:23,0064v00001fhEnXAAU,0,259,1616,1,1
2021-02-22 13:10:23,0064v00001fhEvbAAE,0,259,1616,1,1
2021-02-22 13:10:23,0064v00001fhEvgAAE,0,259,1616,1,1
2021-02-22 13:10:23,0064v00001fhEvqAAE,0,259,1616,1,1
2021-02-22 13:10:23,0064v00001fhEwUAAU,0,259,1616,1,1
2021-02-22 13:10:23,0064v00001fhEz4AAE,0,259,1616,1,1
2021-02-22 13:14:26,0064v00001fhEnIAAU,0,31,194,2,1
2021-02-22 13:14:26,0064v00001fhEnNAAU,0,31,194,2,1
2021-02-22 13:14:26,0064v00001fhEnSAAU,0,31,194,2,1
2021-02-22 13:14:26,0064v00001fhEnXAAU,0,31,194,2,1
2021-02-22 13:14:26,0064v00001fhEvbAAE,0,31,194,2,1
2021-02-22 13:14:26,0064v00001fhEvgAAE,0,31,194,2,1
2021-02-22 13:14:26,0064v00001fhEvqAAE,0,31,194,2,1
2021-02-22 13:14:26,0064v00001fhEwUAAU,0,31,194,2,1
2021-02-22 13:14:26,0064v00001fhEz4AAE,0,31,194,2,1
2021-02-22 13:37:09,0064v00001q5smDAAQ,1,257,1605,1,1
2021-02-22 13:41:52,0064v00001qHaO6AAK,1,357,2230,2,1
2021-02-22 13:47:11,0061B00001hqy61QAA,0,208,1296,1,1
2021-02-22 14:57:43,0064v00001q2jpBAAQ,0,237,1479,1,1
2021-02-22 14:57:43,0064v00001q5o2AAAQ,0,237,1479,1,1
2021-02-22 14:57:43,0064v00001q7Y2GAAU,0,237,1479,1,1
2021-02-22 15:05:30,0064v00001fhufbAAA,1,37,227,2,1
2021-02-22 15:05:30,0064v00001qHfniAAC,1,37,227,2,1
2021-02-22 15:15:47,0061B00001fgKElQAM,0,29,177,1,1
2021-02-22 15:15:47,0061B00001fgO8VQAU,0,29,177,1,1
2021-02-22 15:15:47,0061B00001n6smpQAA,0,29,177,1,1
2021-02-22 15:26:52,0064v00001qHaO6AAK,1,12,72,2,1
2021-02-22 15:27:36,0061B00001hqy61QAA,0,132,822,1,1
2021-02-22 15:28:31,0064v00001fhGMNAA2,0,56,349,1,1
2021-02-22 15:28:31,0064v00001fhGMSAA2,0,56,349,1,1
2021-02-22 15:28:31,0064v00001fhGMXAA2,0,56,349,1,1
2021-02-22 15:28:31,0064v00001fhGMcAAM,0,56,349,1,1
2021-02-22 15:29:28,0064v00001fhEnIAAU,0,5,30,2,1
2021-02-22 15:29:28,0064v00001fhEnNAAU,0,5,30,2,1
2021-02-22 15:29:28,0064v00001fhEnSAAU,0,5,30,2,1
2021-02-22 15:29:28,0064v00001fhEnXAAU,0,5,30,2,1
2021-02-22 15:29:28,0064v00001fhEvbAAE,0,5,30,2,1
2021-02-22 15:29:28,0064v00001fhEvgAAE,0,5,30,2,1
2021-02-22 15:29:28,0064v00001fhEvqAAE,0,5,30,2,1
2021-02-22 15:29:28,0064v00001fhEwUAAU,0,5,30,2,1
2021-02-22 15:29:28,0064v00001fhEz4AAE,0,5,30,2,1
2021-02-22 15:56:05,0064v00001fhEnIAAU,0,16,100,1,1
2021-02-22 15:56:05,0064v00001fhEnNAAU,0,16,100,1,1
2021-02-22 15:56:05,0064v00001fhEnSAAU,0,16,100,1,1
2021-02-22 15:56:05,0064v00001fhEnXAAU,0,16,100,1,1
2021-02-22 15:56:05,0064v00001fhEvbAAE,0,16,100,1,1
2021-02-22 15:56:05,0064v00001fhEvgAAE,0,16,100,1,1
2021-02-22 15:56:05,0064v00001fhEvqAAE,0,16,100,1,1
2021-02-22 15:56:05,0064v00001fhEwUAAU,0,16,100,1,1
2021-02-22 15:56:05,0064v00001fhEz4AAE,0,16,100,1,1
2021-02-22 16:05:21,0064v00001fhEnIAAU,0,73,457,1,1
2021-02-22 16:05:21,0064v00001fhEnNAAU,0,73,457,1,1
2021-02-22 16:05:21,0064v00001fhEnSAAU,0,73,457,1,1
2021-02-22 16:05:21,0064v00001fhEnXAAU,0,73,457,1,1
