,n__fc__x,n__tc__x,n__fc__rw7,n__tc__rw7,n__fc__rw30,n__tc__rw30,n__fc__rw90,n__tc__rw90,duration_in__fc__rw7,target
0,-1.0,-0.3776971316656562,-1.0,-0.47211645390843004,-1.0,-0.2891621004953606,-1.0,-0.34204443416258457,-1.0,False
1,-1.0,-0.6528260096393419,-1.0,-0.7360582269542151,-1.0,-0.6608441294860572,-1.0,-0.6985531110443353,-1.0,False
2,-1.0,-0.7248711220263144,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
3,-1.0,-0.39948766028892946,-1.0,-0.47211645390843004,-1.0,-0.2891621004953606,-1.0,-0.34204443416258457,-1.0,False
4,-1.0,-0.5512841268459853,-1.0,-0.47211645390843004,-1.0,-0.5031456303010358,-1.0,-0.5583882897771537,-1.0,False
5,-1.0,-0.5126796946753136,-1.0,-0.387146181750608,-1.0,-0.44686059968038205,-1.0,-0.508361299680655,-1.0,False
6,-1.0,-0.47923901445901285,-1.0,-0.5816621873485768,-1.0,-0.3580494105829748,-1.0,-0.4294245659089597,-1.0,False
7,-1.0,-0.7248711220263144,-1.0,-0.7360582269542151,-1.0,-0.6608441294860572,-1.0,-0.6985531110443353,-1.0,False
8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
9,-1.0,-0.7248711220263144,-1.0,-0.7360582269542151,-1.0,-0.6608441294860572,-1.0,-0.6985531110443353,-1.0,False
10,-1.0,-0.5126796946753136,-1.0,-0.387146181750608,-1.0,-0.399272284360778,-1.0,-0.46606408223312135,-1.0,False
11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
12,-1.0,-0.47923901445901285,-1.0,-0.47211645390843004,-1.0,-0.3580494105829748,-1.0,-0.4294245659089597,-1.0,False
13,-1.0,-0.42335648380338764,-1.0,-0.7360582269542151,-1.0,-0.3216882589721143,-1.0,-0.3971062220886703,-1.0,False
14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
15,-1.0,-0.3776971316656562,-1.0,-0.5816621873485768,-1.0,-0.2597386111226311,-1.0,-0.3181694883169749,-1.0,False
16,-1.0,-0.39948766028892946,-1.0,-0.47211645390843004,-1.0,-0.2597386111226311,-1.0,-0.34204443416258457,-1.0,False
17,-1.0,-0.826413004819671,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
18,-1.0,-0.42335648380338764,-1.0,-0.5816621873485768,-1.0,-0.2891621004953606,-1.0,-0.36819647841347347,-1.0,False
19,-1.0,-0.47923901445901285,-1.0,-0.387146181750608,-1.0,-0.399272284360778,-1.0,-0.46606408223312135,-1.0,False
20,-1.0,-0.826413004819671,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
21,-1.0,-0.47923901445901285,-1.0,-0.31772041430279185,-1.0,-0.3580494105829748,-1.0,-0.4294245659089597,-1.0,False
22,-1.0,-0.47923901445901285,-1.0,-0.7360582269542151,-1.0,-0.3580494105829748,-1.0,-0.4294245659089597,-1.0,False
23,-1.0,-0.6528260096393419,-1.0,-0.5816621873485768,-1.0,-0.5720329403886498,-1.0,-0.6196163772726397,-1.0,False
24,-1.0,-0.5969434789837168,-1.0,-0.5816621873485768,-1.0,-0.5720329403886498,-1.0,-0.6196163772726397,-1.0,False
25,-1.0,-0.826413004819671,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
26,-1.0,-0.826413004819671,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
27,-1.0,-0.826413004819671,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
28,-1.0,-0.826413004819671,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
29,-1.0,-0.3776971316656562,-1.0,-0.47211645390843004,-1.0,-0.2597386111226311,-1.0,-0.3181694883169749,-1.0,False
30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
31,-1.0,-0.39948766028892946,-1.0,-0.5816621873485768,-1.0,-0.2891621004953606,-1.0,-0.36819647841347347,-1.0,False
32,-1.0,-0.47923901445901285,-1.0,-0.387146181750608,-1.0,-0.3580494105829748,-1.0,-0.4294245659089597,-1.0,False
33,-1.0,-0.44974224405262864,-1.0,-0.7360582269542151,-1.0,-0.3580494105829748,-1.0,-0.4294245659089597,-1.0,False
34,-1.0,-0.47923901445901285,-1.0,-0.387146181750608,-1.0,-0.3580494105829748,-1.0,-0.4294245659089597,-1.0,False
35,-1.0,-0.42335648380338764,-1.0,-0.5816621873485768,-1.0,-0.2891621004953606,-1.0,-0.36819647841347347,-1.0,False
36,-1.0,-0.826413004819671,-1.0,-1.0,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
37,-1.0,-0.826413004819671,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False
39,-1.0,-0.826413004819671,-1.0,-0.7360582269542151,-1.0,-0.7860164701943249,-1.0,-0.8098081886363199,-1.0,False
40,-0.32435348190568236,0.4775295668856714,-1.0,-0.47211645390843004,-1.0,-0.1253502732797186,-0.7878268803130803,0.25806364689743755,-1.0,False
41,-0.32435348190568236,0.4816128056642568,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.012187144313886566,-1.0,False
42,-0.32435348190568236,0.48228691938787427,-1.0,-1.0,-1.0,-0.5031456303010358,-0.7878268803130803,-0.03240622697718332,-1.0,False
43,-0.32435348190568236,0.4775295668856714,-1.0,-0.47211645390843004,-1.0,-0.1253502732797186,-0.7878268803130803,0.26633730234701813,-1.0,False
44,-0.32435348190568236,0.4802591099513729,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.06787183553375731,-1.0,False
45,-0.32435348190568236,0.4809368724681937,-1.0,-1.0,-1.0,-0.5720329403886498,-0.7878268803130803,0.05053625360199532,-1.0,False
46,-0.32435348190568236,0.47821474678534104,-1.0,-1.0,-1.0,-0.23287706987470702,-0.7878268803130803,0.20237895567756659,-1.0,False
47,-0.32435348190568236,0.4754627070346522,-1.0,-0.387146181750608,-0.7523776572625627,-0.018893540069031878,-0.7878268803130803,0.2795953779641289,-1.0,False
48,-0.32435348190568236,0.473378647042646,-1.0,-0.31772041430279185,-0.7523776572625627,0.0058166825266234845,-0.7878268803130803,0.2690406619784813,-1.0,False
49,-0.32435348190568236,0.4802591099513729,-1.0,-1.0,-1.0,-0.5031456303010358,-0.7878268803130803,0.05053625360199532,-1.0,False
50,-0.32435348190568236,0.4754627070346522,-1.0,-0.47211645390843004,-0.7523776572625627,-0.018893540069031878,-0.7878268803130803,0.2795953779641289,-1.0,False
51,-0.32435348190568236,0.4809368724681937,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.05053625360199532,-1.0,False
52,-0.32435348190568236,0.4677348454391128,-1.0,-0.20817468086264512,-0.7523776572625627,0.09758208533818613,-0.7878268803130803,0.24369445907940546,-1.0,False
53,-0.32435348190568236,0.48228691938787427,-1.0,-0.47211645390843004,-1.0,-0.44686059968038205,-0.7878268803130803,0.012187144313886566,-1.0,False
54,-0.32435348190568236,0.4809368724681937,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.05053625360199532,-1.0,False
55,-0.32435348190568236,0.48228691938787427,-1.0,-0.47211645390843004,-1.0,-0.399272284360778,-0.7878268803130803,0.012187144313886566,-1.0,False
56,-0.32435348190568236,0.4677348454391128,-1.0,-0.20817468086264512,-0.7523776572625627,0.09758208533818613,-0.7878268803130803,0.24953273854629532,-1.0,False
57,-0.32435348190568236,0.47615355739582665,-1.0,-0.47211645390843004,-1.0,-0.07517857068968559,-0.7878268803130803,0.28217181739208375,-1.0,False
58,-0.32435348190568236,0.4795795081853049,-1.0,-0.7360582269542151,-1.0,-0.44686059968038205,-0.7878268803130803,0.12797767695329498,-1.0,False
59,-0.32435348190568236,0.4802591099513729,-1.0,-0.7360582269542151,-1.0,-0.44686059968038205,-0.7878268803130803,0.12797767695329498,-1.0,False
60,-0.32435348190568236,0.4663037952758935,-0.6818023842614117,-0.12320440870482285,-0.7523776572625627,0.13880495911598945,-0.7878268803130803,0.23772925060223882,-0.045565053719718085,False
61,-0.32435348190568236,0.4795795081853049,-1.0,-0.7360582269542151,-1.0,-0.44686059968038205,-0.7878268803130803,0.15372049102680352,-1.0,False
62,-0.32435348190568236,0.4719795758222689,-1.0,-0.31772041430279185,-0.7523776572625627,0.07941725939131183,-0.7878268803130803,0.26360704317305306,-1.0,False
63,-0.32435348190568236,0.4795795081853049,-1.0,-0.7360582269542151,-1.0,-0.399272284360778,-0.7878268803130803,0.13682969567820824,-1.0,False
64,-0.32435348190568236,0.4775295668856714,-1.0,-0.7360582269542151,-1.0,-0.16398975978709285,-0.7878268803130803,0.2795953779641289,-1.0,False
65,-0.32435348190568236,0.46915776459162184,-1.0,-0.387146181750608,-0.7523776572625627,0.07941725939131183,-0.7878268803130803,0.2552493782979841,-1.0,False
66,-0.32435348190568236,0.4802591099513729,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.09956727606026172,-1.0,False
67,-0.32435348190568236,0.47615355739582665,-1.0,-0.5816621873485768,-1.0,-0.06011641384683519,-0.7878268803130803,0.2795953779641289,-1.0,False
68,-0.32435348190568236,0.48228691938787427,-1.0,-1.0,-1.0,-0.5031456303010358,-0.7878268803130803,-0.03240622697718332,-1.0,False
69,-0.32435348190568236,0.4740752625046418,-1.0,-0.31772041430279185,-0.7523776572625627,0.01746761154182863,-0.7878268803130803,0.2717176469491782,-1.0,False
